'di	d i
mamaluktot	m a m a l u k t o t
mamamayan	m a m a m a y a n
mamamayang	m a m a m a y a ng
mamarkahan	m a m a r k a h a n
mamatay	m a m a t ay
mamaya	m a m a y a
mamayan	m a m a y a n
mamayang	m a m a y a ng
mambabasa	m a m b a b a s a
mamimili	m a m i m i l i
mamimitas	m a m i m i t a s
mamitas	m a m i t a s
mamuhunan	m a m u h u n a n
mamulot	m a m u l o t
mamunga	m a m u ng a
mamuno	m a m u n o
man	m a n
management	m a n e jh m e n t
manalangin	m a n a l a ng i n
mananakop	m a n a n a k o p
mananalaysay	m a n a n a l a y s ay
mananalo	m a n a n a l o
mananatili	m a n a n a t i l i q
mananatiling	m a n a n a t i l i ng
mandaluyong	m a n d a l u y o ng
mandirigma	m a n d i r i g m a
mang	m a ng
mang-loot	m a ng l o q o t
mangahas	m a ng a h a s
mangamba	m a ng a m b a
mangangailangan	m a ng a ng a q i l a ng a n
mangangalakal	m a ng a ng a l a k a l
mangga	m a ng g a
manggagaling	m a ng g a g a l i ng
manggagawa	m a ng g a g a w a
manggahan	m a ng g a h a n
manggang	m a ng g a ng
manghahawak	m a ng h a h a w a k
mangibang	m a ng i b a ng
mangingisda	m a ng i ng i s d a
mangingisda-mangingisda	m a ng i ng i s d a q m a ng i ng i s d a
mangoes	m a ng o s
mangopo	m a ng o p o
mangopya	m a ng o p y a
mangyari	m a ng a y a r i
mangyayari	m a ng y a y a r i
mangyayari'y	m a ng y a y a r i
manigarilyo	m a n i g a r i ly o q
manigong	m a n i g o ng
manila	m a n i l a
maninilaw	m a n i n i l aw
manipis	m a n i p i s
manipulation	m a n i p u l ey sh uh n
manirahan	m a n i r a h a n
maniwala	m a n i w a l a q
manlalaro	m a n l a l a r o
manlulupig	m a n l u l u p i g
manok	m a n o k
mansion	m a n s i q o n
manugang	m a n u g a ng
manulife	m a ny u l ay p
manunulat	m a n u n u l a t
mapababa	m a p a b a b a
mapadaan	m a p a d a q a n
mapag-aalinlanganang	m a p a g q a a l i n l a ng a n a ng
mapag-alaman	m a p a g q a l a m a n
mapag-alinlangan	m a p a g q a l i n l a ng a n
mapagalitan	m a p a g a l i t a n
mapagbigay	m a p a g b i g ay
mapaghiganti	m a p a g h i g a n t i
mapagiwanan	m a p a g i w a n a n
mapaglakbay	m a p a g l a k b ay
mapagod	m a p a g o d
mapagtiis	m a p a g t i q i s
mapait	m a p a q i t
mapakali	m a p a
mapako	m a p a k o q
mapalad	m a p a l a d
mapanatili	m a p a n a t i l i q
mapanlinlang	m a p a n l i n l a ng
mapansin	m a p a n s i n
mapapaapaw	m a p a p a q a p aw
mapapansin	m a p a p a n s i n
mapapansing	m a p a p a n s i ng
mapapasaiyo	m a p a p a s a q i y o q
maparine	m a p a r i n
mapaso	m a p a s o
mapatunayan	m a p a t u n a y a n
mapigilan	m a p i g i l a n
mapuno	m a p u n o
marahan	m a r a h a n
marahas	m a r a h a s
marahil	m a r a h i l
marahuyo	m a r a h u y o q
maramdaman	m a r a m d a m a n
marami	m a r a m i
maraming	m a r a m i ng
marapat	m a r a p a t
mararamdaman	m a r a r a m d a m a n
marawi	m a r a w i
marcela	m a er s i l a
marco	m a er k o
marcos	m a er k o s
maresolba	m a r e s o l b a
margarita	m a er g a r i t a
margarito	m a er g a r i t o
maria	m a er i y a
maribago	m a r i b a g o q
maricel	m a r i s e l
marikina	m a r i k i n a
marilou	m a r i l u
marinig	m a r i n i g
marissa	m a r i s a
marites	m a r i t e s
mariveles	m a r e v e l e s
marivic	m a er i v i k
mark	m a er k
marker	m a r k er
markings	m a r k i ng s
marlon	m a er l u n
marso	m a r s o
martes	m a r t e s
martin	m a er t i n
martir	m a er t i r
marunong	m a r u n o ng
marvin	m a er v i n
mary	m e r i
mas	m a s
masakim	m a s a k i m
masakit	m a s a k i t
masalinan	m a s a l i n a n
masalita	m a s a l i t a
masama	m a s a m a
masamang	m a s a m a ng
masapi	m a s a p i
masasabi	m a s a s a b i
masasabing	m a s a s a b i ng
masasabunot	m a s a s a b u n o t
masasaksihan	m a s a s a k s i h a n
masasamang	m a s a s a m a ng
masasapantahang	m a s a s a p a n t a h a ng
masaway	m a s a w a y
masaya	m a s a y a
masayang	m a s a y a ng
masbate	m a s b ey t
masinsing	m a s i n s i ng
masipag	m a s i p a g
masira	m a s i r a
masisilayan	m a s i s i l a y a n
masisiyahan	m a s i s i y a h a n
maski	m a s k i
masugpo	m a s u g p o
masukal	m a s u k a l
masulat	m a s u l a t
masupil	m a s u p i l
masusing	m a s u s i ng
masusulyapan	m a s u s u l y a p a n
masyadong	m a sh a d o ng
mata	m a t a
mataaas	m a t a a a s
mataas	m a t a q a s
matagal	m a t a g a l
matagpuan	m a t a g p u q a n
matagumpay	m a t a g u m p ay
matahimik	m a t a h i m i k
matakot	m a t a k o t
matalas	m a t a l a s
matalino	m a t a l i n o
matalinong	m a t a l i n o ng
matam-is	m a t a m q i s
matamis	m a t a m i s
matamlay	m a t a m l ay
matanda	m a t a n d a
matandang	m a t a n d a ng
matang	m a t a ng
matanggal	m a t a ng g a l
matanggap	m a t a ng g a p
matapang	m a t a p a ng
matapat	m a t a p a t
matapos	m a t a p o s
matatag	m a t a t a g
matatagpuan	m a t a t a g p u q a n
matatanda	m a t a t a n d a
matatapatan	m a t a t a p a t a n
matatapos	m a t a t a p o s
mateo	m a t e y o
materials	m a t e r i y a l s
materyales	m a t e r y a l e s
matet	m a t e t
mati	m a t i
matibay	m a t i b ay
matiis	m a t i q i s
matimbang	m a t i m b a ng
matinding	m a t i n d i ng
matingkad	m a t i ng k a d
matinik	m a t i n i k
matiyagang	m a t y a g a ng
matsing	m a ch i ng
matthew	m a t th iw
matuklasan	m a t u k l a s a n
matulin	m a t u l i n
matuling	m a t u l i ng
matulog	m a t u l o g
matulungan	m a t u l u ng a n
matulungin	m a t u l u ng i n
matumal	m a t u m a l
matutong	m a t u t o ng
matutukoy	m a t u t u k oy
matutulis	m a t u t u l i s
matutulungan	m a t u t u l u ng a n
matutunghayan	m a t u t u ng h a y a n
matutupad	m a t u t u p a d
matutuyo	m a t u t u y o q
maubos	m a q o b u s
maulap	m a q u l a p
mauna	m a q u n a
maunawaan	m a q u n a w a q a n
maunlad	m a q u n l a d
maupo	m a q u p o
mauuna	m a q u u n a
maverick	m a v er i k
mawakwak	m a w a k w a k
mawala	m a w a l a q
mawalang	m a w a l a ng
mawawala	m a w a w a l a q
mawawalan	m a w a w a l a n
may	m a y
may-ari	m a y q a r i
may-kalabuan	m a y q k a l a b u q a n
maya	m a y a
maya't	m a y a t
maya-	m a y a
maya-maya	m a y a m a y a q
mayaman	m a y a m a n
maynila	m a n i l a
maynilad	m a n i l a d
mayo	m a y o
mayon	m a y o n
mayroon	m a y r o q o n
mayroong	m a y r o q o ng
mayruong	m a y r o o ng
mcci	m s i s i q ay
me	m i
mechado	m i ch a d o
media	m e d i y a
medical	m e d i k a l
medicine	m e d i k ay n
medya	m e jh a
meeting	m i t i ng
megamall	m e g a m o l
megaworld	m i g a w uh er l d
melanie	m e l a n i
member	m e m b er
mendoza	m e n d o z a
mensahe	m e n s a h e
meralco	m e r a l k o
mercado	m er k a d o
merkado	m e r k a d o
meron	m e r o n
mesa	m e s a
messages	m e s a jh e s
metabolism	m e t a b o l i s m
metro	m e t r o
metrobank	m e t r o b a ng k
metropolitan	m e t er o p o l i t a n
meycauayan	m ey k a w a y a n
mga	m a ng a
mia	m i q a
michael	m ay k e l
michelle	m i sh e l
midtown	m i d t aw n
miguel	m i g e l
mikrobyo	m i k r o b y o q
miles	m i l e s
militarisasyon	m i l i t a r i s a sh o n
millennium	m i l e ny u m
milligram	m i l i g er ae m
million	m i l y u n
milya	m i ly a
milyong	m i ly o ng
milyun-milyong	m i ly u n q m i ly o ng
minamahal	m i n a m a h a l
minana	m i n a n a
minatamis	m i n a t a m i s
mindanao	m i n d a n aw
mindanaw	m i n d a n aw
mines	m ay n s
mining	m ay n i ng
minsan	m i n s a n
minsanan	m i n s a n a n
minsang	m i n s a ng
mintis	m i n t i s
minuminuto	m i n u m i n u t o
minuto	m i n u t o
mismo	m i s m o
mismong	m i s m o ng
mitch	m i ch
mithiin	m i t h i q i n
miting	m i t i ng
miyerkules	m y e r k u l e s
mo	m o
mo'y	m oy
mobile	m o b e l
model	m o d e l
modernong	m u d e r n o ng
molina	m o l i n a
molo	m o l o
momentum	m o m e n t u m
mong	m o ng
monica	m u n i k a
montalbo	m o n t a l b o
monte	m o n t e
month	m o n t
monumento	m o ny u m e n t o
mood	m o q o d
moody's	m u jh s
moog	m o q o g
moral	m o r a l
morcon	m o er k o n
most	m o s t
motel	m o t e l
mother	m o d er
mouth	m aw dh
mr	m er
mrt	m er t
muhi	m u h i q
muhi-muhi	m u h i m u h i q
muhing-muhi	m u h i ng m u h i q
mukha	m u k h a q
mukhang	m u k h a ng
mula	m u l a
muli	m u l i q
muling	m u l i ng
muna	m u n a
muna'y	m u n ay
munang	m u n a ng
mundo	m u n d o
muntik	m u n t i k
munting	m u n t i ng
muntinlupa	m u n t i n l u p a
mura	m u r a
murang	m u r a ng
museum	m u s i u m
mushroom	m u sh r u m
muslims	m u s l i m s
muta	m u t a
my	m i
n'yan	n y a n
na	n a
na't	n a t
na-experience	n a q e k s p e r i y e n s
na-export	n a q e k s p o er t
na-re-resolba	n a q r e r e s o l b a
naaakyat	n a q a q a k y a t
naaalarma	n a q a q a l a r m a
naagapan	n a q a g a p a n
naamoy	n a q a m oy
naaning	n a q a n i ng
naapektuhan	n a q a p e k t u h a n
naari	n a q a r i
nababagay	n a b a b a g ay
nababahala	n a b a b a h a l a
nababatay	n a b a b a t ay
nababatid	n a b a b a t i d
nabahala	n a b a h a l a
nabalian	n a b a l i q a n
nabanggit	n a b a ng g i t
nabasag	n a b a s a g
nabatid	n a b a t i d
nabibiliran	n a b i b i l i r a n
nabibingit	n a b i b i ng i t
nabigla't	n a b i g l a t
nabigyan	n a b i g y a n
nabili	n a b i l i q
nabubuhay	n a b u b u h ay
nabulagan	n a b u l a g a n
nabuo	n a b u q o
nadama	n a d a m a
nadapa	n a d a p a
nadarang	n a d a r a ng
nadatnan	n a d a t n a n
nadayang	n a d a y a ng
nade-dehydrate	n a d e d i h y d r ey t
nadulas	n a d u l a s
nag-	n a g
nag-aabang	n a g q a q a b a ng
nag-aantok	n a g q a q a n t o k
nag-aaral	n a g q a q a r a l
nag-akma	n a g a k m a
nag-aksaya	n a g a k s a y a
nag-click	n a g c l i k
nag-i-import	n a g q i q i m p o er t
nag-ibayo	n a g q i b a y o q
nag-iibayo	n a g q i q i b a y o q
nag-iisa	n a g q i q i s a
nag-isip	n a g q i s i p
nag-rollback	n a g q r o l b a k
nag-twist	n a g t w i s t
nag-usbong	n a g q u s b o ng
nag-uumpisa	n a g q u q u m p i s a
nag-uumpugang	n a g q u q u m p u g a ng
nag-uuntugang	n a g q u q u n t u g a ng
naga	n a g a
nagagalit	n a g a g a l i t
nagagawa	n a g a g a w a
nagalit	n a g a l i t
nagawa	n a g a w a
nagbaba	n a g b a q b a q
nagbabadya	n a g b a q b a d y a
nagbabagsakang	n a g b a b a g s a k a ng
nagbabahang	n a g b a b a h a ng
nagbabala	n a g b a b a l a
nagbabanlaw	n a g b a b a n l aw
nagbabantang	n a g b a b a n t a ng
nagbabayad	n a g b a b a y a d
nagbalang	n a g b a l a ng
nagbalik	n a g b a l i k
nagbanta	n a g b a n t a
nagbayo	n a g b a y o q
nagbibigay	n a g b i b i g ay
nagbibigay-daang	n a g b i b i g ay d a a ng
nagbibigay-galang	n a g b i b i g ay q g a l a ng
nagbigay	n a g b i g ay
nagbukas	n a g b u k a s
nagdaan	n a g d a q a n
nagdaang	n a g d a q a ng
nagdadala	n a g d a d a l a
nagdala	n a g d a l a
nagdaos	n a g d a o s
nagdaramdam	n a g d a r a m d a m
nagdarasal	n a g d a r a s a l
nagdedeklara	n a g d e d e k l a r a
nagdugo	n a g d u g u q
naggagawad	n a g g a g a w a d
naghahanap	n a g h a h a n a p
naghahanda	n a g h a h a n d a
naghahangad	n a g h a h a ng a d
naghaharing	n a g h a h a r i ng
naghangad	n a g h a ng a d
naghihintay	n a g h i h i n t ay
naghihirap	n a g h i h i r a p
naghirap	n a g h i r a p
nagiging	n a g i g i ng
nagigipit	n a g i g i p i t
nagiibayo	n a g i q i b a y o
naging	n a g i ng
nagkaanak	n a g k a q a n a k
nagkakaisa	n a g k a g k a q i s a
nagkakaloob	n a g k a k a l o q o b
nagkakaroon	n a g k a k a r o q o n
nagkakasala	n a g k a k a s a l a
nagkakati	n a g k a k a t i
nagkaloob	n a g k a l o q o b
nagkamali	n a g k a m a l i
nagkaroon	n a g k a r o q o n
nagkatagpo	n a g k a t a g p o
nagkataon	n a g k a t a q o n
nagkatigdas	n a g k a t i g d a s
naglagak	n a g l a g a k
naglahad	n a g l a h a d
naglaho	n a g l a h o
naglahong	n a g l a h o ng
naglalahad	n a g l a l a h a d
naglalakad	n a g l a l a k a d
naglalakbay	n a g l a l a k b ay
naglalakihang	n a g l a l a k i h a ng
naglaon	n a g l a q o n
naglapat	n a g l a p a t
naglaro	n a g l a r o
naglinis	n a g l i n i s
naglunsad	n a g l u n s a d
nagluto	n a g l u t o q
nagmakaawa	n a g m a k a q a w a
nagmamatigas	n a g m a m a t i g a s
nagmano	n a g m a n o
nagmula	n a g m u l a
nagmumula	n a g m u m u l a
nagnanais	n a g n a n a q i s
nagpahayag	n a g p a h a y a g
nagpakitang	n a g p a k i t a ng
nagpala	n a g p a l a
nagpamalas	n a g p a m a l a s
nagpapabasa	n a g p a p a b a s a
nagpapahirap	n a g p a p a h i r a p
nagpapakilala	n a g p a p a k i l a l a
nagpapakilalang	n a g p a p a k i l a l a ng
nagpapakitang	n a g p a p a k i t a ng
nagpapatamlay	n a g p a p a t a m l ay
nagpapatunay	n a g p a p a t u n ay
nagpapatupad	n a g p a p a t u p a d
nagpasabi	n a g p a s a b i
nagpatuloy	n a g p a t u l oy
nagpatupad	n a g p a t u p a d
nagpipilit	n a g p i p i l i t
nagprotesta	n a g p r o t e s t a
nagpu-produce	n a g p u p r u d u s
nagpunta	n a g p u n t a
nagresulta	n a g r e s u l t a
nagretiro	n a g r e t i r o
nagsabi	n a g s a b i
nagsaing	n a g s a i ng
nagsampa	n a g s a m p a
nagsanib	n a g s a n i b
nagsara	n a g s a r a
nagsasabing	n a g s a s a b i ng
nagsasabon	n a g s a s a b u n
nagsidalo	n a g s i d a l o
nagsilabas	n a g s i l a b a s
nagsimula	n a g s i m u l a
nagsimulang	n a g s i m u l a ng
nagsisagupa	n a g s i s a g u p a
nagsisipagsalita	n a g s i s i p a g s a l i t a
nagsisipamahala	n a g s i s i p a m a h a l a
nagsusugat	n a g s u s u g a t
nagsusuka	n a g s u s u k a
nagsusulat	n a g s u s u l a t
nagsusuot	n a g s u s u q u t
nagsusuplay	n a g s u s u p l ay
nagtagal	n a g t a g a l
nagtago	n a g t a g o
nagtagpo	n a g t a g p o
nagtakbuhan	n a g t a k b u h a n
nagtala	n a g t a l a
nagtanim	n a g t a n i m
nagtanong	n a g t a n o ng
nagtataglay	n a g t a t a g l ay
nagtatago	n a g t a t a g o q
nagtatawa	n a g t a t a w a
nagtayo	n a g t a y o q
nagtila-impiyerno	n a g t i l a q i m p y e r n o
nagtipon	n a g t i p o n
nagtungo	n a g t u ng o
nagturo	n a g t u r o
nagugutom	n a g u g u t u m
nagulat	n a g u l a t
nagustuhan	n a g u s t u h a n
nagwawagi	n a g w a w a g i
nagwawakas	n a g w a w a k a s
nagwika	n a g w i k a w
nahaharap	n a h a h a r a p
nahalal	n a h a l a l
nahampas	n a h a m p a s
nahanap	n a h a n a p
nahiga	n a h i g a
nahihilo	n a h i h i l o
nahihirapan	n a h i h i r a p a n
nahihirapang	n a h i h i r a p a ng
nahihiya	n a h i h i y a
nahikayat	n a h i k a y a t
nahitik	n a h i t i k
nahuhumaling	n a h u h u m a l i ng
nahuli-nahuli	n a h u l i n a h u l i q
nahuling	n a h u l i ng
nahulog	n a h u l o g
nai-stroke	n a q i s t er ow k
naia	n a q i y a
naibigay	n a q i b i g ay
naibsan	n a q i b s a n
naihahabol	n a q i h a h a b u l
naiinom	n a i q i n o m
naiintindihan	n a i q i n t i n d i h a n
naiipit	n a q i q i p i t
naiisahan	n a i q i s a h a n
naikaw	n a q i k aw
nailalabas	n a q i l a l a b a s
naintindihan	n a q i n t i n d i h a n
naipalabas	n a q i p a l a b a s
naipaparating	n a q i p a p a r a t i ng
naipit	n a q i p i t
naipon	n a q i p o n
nais	n a q i s
naisipan	n a q i s i p a n
naitago	n a q i t a g o q
naitalang	n a q i t a l a ng
naitulong	n a q i t u l o ng
naitutulong	n a q i t u t u l o ng
naiwan	n a q i w a n
naiwang	n a i w a ng
naka-recover	n a k a q r e k a v er
naka-reseta	n a k a q r e s e t a
nakaahon	n a k a q a h o n
nakaalis	n a k a q a l i s
nakababatang	n a k a b a b a t a ng
nakabalik	n a k a b a l i k
nakabangga	n a k a b a ng g a
nakabasa	n a k a b a s a
nakabase	n a k a b a s e
nakabitin	n a k a b i t i n
nakabuo	n a k a b u q o
nakagat	n a k a g a t
nakahanda	n a k a h a n d a
nakahandang	n a k a h a n d a ng
nakaharap	n a k a h a r a p
nakahuli	n a k a h u l i q
nakain	n a k a q i n
nakaiwas	n a k a q i w a s
nakakaapekto	n a k a k a q a p e k t o
nakakabili	n a k a k a b i l i q
nakakadagdag	n a k a k a d a g d a g
nakakahawa	n a k a k a h a w a
nakakahinayang	n a k a k a h i n a y a ng
nakakakain	n a k a k a k a q i n
nakakalimot	n a k a k a l i m o t
nakakapagod	n a k a k a p a g o d
nakakapawi	n a k a k a p a w i
nakakapinsala	n a k a k a p i n s a l a q
nakakasama	n a k a k a s a m a
nakakatawang	n a k a k a t a w a ng
nakakita	n a k a k i t a
nakalalait	n a k a l a l a q i t
nakalap	n a k a l a p
nakalilipas	n a k a l i l i p a s
nakalipad	n a k a l i p a d
nakalipas	n a k a l i p a s
nakamit	n a k a m i t
nakanino	n a k a n i n o
nakapagtala	n a k a p a g t a l a
nakapagtrabaho	n a k a p a g t r a b a h o q
nakapaloob	n a k a p a l o q o b
nakapasok	n a k a p a s o k
nakapokus	n a k a p o k u s
nakaraan	n a k a r a q a n
nakaraang	n a k a r a q a ng
nakaramdam	n a k a r a m d a m
nakasalamuha	n a k a s a l a m u h a q
nakasama	n a k a s a m a
nakasunod	n a k a s u n o d
nakataas	n a k a t a q a s
nakatago	n a k a t a g o q
nakatakas	n a k a t a k a s
nakatakda	n a k a t a k d a
nakatakdang	n a k a t a k d a ng
nakatapos	n a k a t a p o s
nakatatanda	n a k a t a t a n d a
nakatindig	n a k a t i n d i g
nakatipid	n a k a t i p i d
nakatira	n a k a t i r a
nakatitipid	n a k a t i t i p i d
nakatitiyak	n a k a t i t i y a k
nakatulong	n a k a t u l u ng
nakatunganga	n a k a t u ng a ng a
nakatuon	n a k a t u q o n
nakauniporme	n a k a q u n i p o r m e
nakawala'y	n a k a w a l ay
nakayanan	n a k a y a n a n
nakikilala	n a k i k i l a l a
nakikinig	n a k i k i n i g
nakikipag-ugnayan	n a k i k i p a g q u g n a y a n
nakikiramay	n a k i k i r a m ay
nakikita	n a k i k i t a
nakikitang	n a k i k i t a ng
nakipagbaka	n a k i p a g b a k a
nakipagkaibigan	n a k i p a g k a q i b i g a n
nakipagkasundo	n a k i p a g k a s u n d o
nakipagsapalaran	n a k i p a g s a p a l a r a n
nakita	n a k i t a
nakitil	n a k i t i l
nakokolekta	n a k o k o l e k t a
nakolekta	n a k o l e k t a
naku	n a k u
nakuha	n a k u h a q
nakuhang	n a k u h a ng
nakukuha	n a k u k u h a q
nalalaman	n a l a l a m a n
nalaman	n a l a m a n
nalamuyot	n a l a m u y o t
nalawayan	n a l a w a y a n
naligo	n a l i g o q
nalilimutan	n a l i l i m u t a n
nalugi	n a l u g i
nalulunod	n a l u l u n o d
nama	n a m a
nama'y	n a m ay
namamatay	n a m a m a t ay
namamayagpag	n a m a m a y a g p a g
naman	n a m a n
namang	n a m a ng
namatay	n a m a t ay
namatayan	n a m a t a y a n
name	n a m e
namili	n a m i l i
namimintog	n a m i m i n t o g
namimintong	n a m i m i n t o ng
namin	n a m i n
naming	n a m i ng
namitas	n a m i t a s
namumuhanan	n a m u m u h a n a n
namumuhunan	n a m u m u h u n a n
namumuong	n a m u m u q u ng
namuno	n a m u n o
nana	n a n a
nanamlay	n a n a m l ay
nananatiling	n a n a n a t i l i ng
nanatiling	n a n a t i l i ng
nanay	n a n ay
nang	n a ng
nangagalit	n a ng a g a l i t
nangagbitin	n a ng a g b i t i n
nangagsiurong	n a ng a g s i q u r o ng
nangagtaas	n a ng a g t a a s
nanganak	n a ng a n a k
nangangailangan	n a ng a ng ay l a ng a n
nangangamba	n a ng a ng a m b a
nanganganib	n a ng a ng a n i b
nangapoot	n a ng a p u q o t
nangatakot	n a ng a t a k o t
nanggaling	n a ng g a l i ng
nanggigigil	n a ng g i g i g i l
nangiti	n a ng i t i
nangitim	n a ng i t i m
nanguha	n a ng u h a
nangunguna	n a ng u ng u n a
nangyari	n a ng a y a r i
nangyaring	n a ng a y a r i ng
nangyayari	n a ng y a y a r i
naninigarilyo	n a n i n i g a r i ly o q
naninikip	n a n i n i k i p
naninira	n a n i n i r a
naninirahan	n a n i n i r a h a n
naniniwala	n a n i n i w a l a q
nanirahan	n a n i r a h a n
naniwala	n a n i w a l a q
nanlalabo	n a n l a l a b o
napag-alaman	n a p a g q a l a m a n
napag-alamang	n a p a g q a l a m a ng
napag-aralan	n a p a g q a r a l a n
napagkasunduan	n a p a g k a s u n d u q a n
napaglalalangan	n a p a g l a l a l a ng a n
napagtanto	n a p a g t a n t o
napahayag	n a p a h a y a g
napaka-pangkaraniwang	n a p a k a p a ng k a er a n i w a ng
napakabigat	n a p a k a b i g a t
napakabitan	n a p a k a b i t a n
napakabuti	n a p a k a b u t i
napakagandang	n a p a k a g a n d a ng
napakalawak	n a p a k a l a w a k
napakalikot	n a p a k a l i k o t
napakaraming	n a p a k a r a m i ng
napanood	n a p a n u d
napansin	n a p a n s i n
napasa-mahinang	n a p a s a m a h i n a ng
napasong	n a p a s o ng
napatunayan	n a p a t u n a y a n
napilay	n a p i l ay
napili	n a p i l i
napilitan	n a p i l i t a n
napipintong	n a p i p i n t o ng
napipisa	n a p i p i s a
napipisil	n a p i p i s i l
napocor	n a p o k o r
napopoot	n a p o p u q o t
napu't	n a p u t
napulot	n a p u l o t
naragdagan	n a r a g d a g a n
naramdaman	n a r a m d a m a n
nararamdaman	n a r a r a m d a m a n
nararanasan	n a r a r a ny a s a n
nararapat	n a r a r a p a t
narinig	n a r i n i g
narito	n a r i t o
nariyan	n a r i y a n
naroon	n a r o q o n
naruon	n a r o q o n
nasa	n a s a
nasa-kuwentong	n a s a q k w e n t o ng
nasaan	n a s a q a n
nasabing	n a s a b i ng
nasaktang	n a s a k t a ng
nasanay	n a s a n ay
nasasakop	n a s a s a k o p
nasasaktan	n a s a s a k t a n
nasasangkap	n a s a s a ng k a p
nasimulan	n a s i m u l a n
nasira	n a s i r a
nasisiraan	n a s i s i r a q a n
nasisiyahang	n a s i s i y a h a ng
nasugatan	n a s u g a t a n
nasusugatan	n a s u s u g a t a n
nasuya	n a s u y a q
nasyonalismo'y	n a sh u n a l i s m oy
nata	n a t a
natagalan	n a t a g a l a n
natakot	n a t a k o t
natanaw	n a t a n aw
natapos	n a t a p o s
natatabunan	n a t a t a b u n a n
natatagpuan	n a t a t a g p u q a n
natatakot	n a t a t a k o t
natatapat	n a t a t a p a t
natawa	n a t a w a
natawag	n a t a w a g
natin	n a t i n
nating	n a t i ng
national	n a sh u n a l
nations	n a sh uh n s
natirang	n a t i r a ng
natiy	n a t i
natukoy	n a t u k oy
natural	n a t u r a l
naturang	n a t u r a ng
natutulog	n a t u t u l o g
natutunan	n a t u t u n a n
naudlot	n a q u d l o t
naulingan	n a q u l i ng a n
naunang	n a q u n a ng
naunawaan	n a q u n a w a q a n
nauukol	n a q u u k o l
navarro	n a v a r o
navotas	n a v o t a s
nawa	n a w a
nawala	n a w a l a q
nawalan	n a w a l a n
nawalay	n a w a l ay
nawawala	n a w a w a l a q
nayo't	n a y o t
nayon	n a y o n
nea	ny a
neda	n i d a
negosyante	n e g o sh a n t i
negosyo	n e g o sh o q
negosyo'	n e g o sh o q
neri	n e r i
network	n e t w er k
new	ny u
news	ny u s
ng	ng
nga	ng a
ngang	ng a ng
ngani	ng a n i
ngay-on	ng a y q o n
ngayon	ng a y o n
ngayong	ng a y o ng
ngipin	ng i p i n
nguni't	ng u n i t
ngunit	ng u n i t
ni	n i
nicarosa	n i k a r u s a
nick	n i k
nicole	n i k ow l
nido	n i d o
nigarilyo	n i g a r i ly o q
nigeria	n i jh e r i y a
nightclubs	n ay t k l uh b s
niko	n i k o
nila	n i l a
nilabag	n i l a b a g
nilabanan	n i l a b a n a n
nilaga	n i l a g a
nilakaran	n i l a k a r a n
nilalagnat	n i l a l a g n a t
nilalapatan	n i l a l a p a t a n
nilalayong	n i l a l a y o ng
nilang	n i l a ng
nilapitan	n i l a p i t a n
nilasing	n i l a s i ng
nilo	n i l o
nilusob	n i l u s o b
nilusong	n i l u s o ng
niluto	n i l u t o
nina	n i n a
ninang	n i n a ng
nine	n ay n
nineteen	n i n e t i n
ninety	n i n e t i
ninety-five	n i n e t y q f ay v
ninety-nine	n i n e t i n ay n
ninety-one	n i n e t y q o n
ningas	n i ng a s
nino	n i n o
ninong	n i n o ng
ninos	n i n o s
ninoy	n i n oy
ninuno	n i n u n o
ninyo	n i ny o
ninyong	n i ny u ng
nitiglao	n i t i g l aw
nito	n i t o
nitong	n i t o ng
niy	n i y
niya	n i y a
niya'y	n i y a y
niyang	n i y a ng
niyaong	ny a q o ng
niyebe	ny e b e
niyo	n i y o q
niyog	n i y o g
niyong	n i y o ng
noah	n ow a
nobyembre	n o b y e m b r e
noel	n o w e l
noo	n o q o
noo'y	n o oy
noon	n o q o n
noong	n o q o ng
normal	n o er m a l
norte	n o er t e
norvasc	n o er v a s k
not	n o t
notbuk	n o t b u k
notebook	n o t e b o o k
novaliches	n o v a l i ch e s
nso	n s o
ntc	n t i s i
nuclear	n u k l i er
nueba	n w e b a
nueva	n w e v a
number	n a m b e er
numero	n u m i r o
nung	n o ng
nuon	n o q o n
nuong	n o q o ng
nyan	n y a n
nyo	ny o
o	q o
obligasyon	o b l i g a sh u n
obra	o b r a
obserbasyon	ao b s e r b a sh o n
ocampo	q o k a m p o
occult	q o k s u l t
ocean	q o sh y a n
of	q o v
officer	q o f i s er
ofw	o b w
ofws	o b w s
oh	q o
oil	q oy l
oily	oy l i
ok	o k
okasyon	q o k a sh u n
okay	q o k ay
okey	q o k ey
oktubre	q o k t u b r e
oliver	q o l i v er
olongapo	q o l o ng g a p u
olympia	q o ly m p i y a
omar	q o m a r
on-line	q o n l i n
one	w a n
one-day	q o n i d ay
ong	q o ng
ooperahan	q o a p e r a h a n
operahan	q o p e r a h a n
operasyon	q o p e r a sh u n
opisina	q o p i s i n a
opisyal	q o p i sh y a l
opo	q o p o
opsf	q o p s f
orange	q o r ey n jh
oras	q o r a s
oras-oras	q o r a s q o r a s
orasyon	q o r a sh o n
orchard	q o er ch a er d
organ	o er g a n
original	q o r ay i n a l
orihinal	q o r i h i n a l
oro	q o r o
ospital	q o s p i t a l
otop	q o t o p
otorisadong	q o t o r i s a d o ng
ove	a v
over-activity	q ow v er q a k t i v i t i
overseas	q ow v er s i s
oxford	q ao k s f er d
ozamiz	o z a m i z
pa	p a
paa	p a q a
paala-ala	p a q a l a q a l a
paalaala	p a q a l a a l a
